song,Days_on_chart,Average_rank,Best_rank,Rank_volatility
GRACIAS POR NADA,3,24.0,12,20.784609690826528
GTA,1,28.0,28,
Gata Only,113,31.02654867256637,13,8.941736185870116
Gata Only (Mashup),2,26.0,26,0.0
Gently (feat. Bad Bunny),15,23.133333333333333,8,13.87632447560884
Get It Sexyy,56,36.42857142857143,26,7.1219434090757785
Ghostbusters,5,24.0,1,19.974984355438178
Goes Without Saying (Feat. Brad Paisley),5,39.2,24,11.009087155618307
Good Graces,67,24.19402985074627,6,12.30574983366688
"Good Luck, Babe!",232,9.974137931034482,1,8.571533685975364
Gucci Grocery Bag,1,36.0,36,
Guess featuring Billie Eilish,66,25.454545454545453,4,9.916857160615752
Guess featuring billie eilish,14,39.5,21,8.121670915614498
Guilty Conscience 2,1,21.0,21,
Guilty as Sin?,39,24.564102564102566,10,12.516925113820617
Guy For That (Feat. Luke Combs),31,23.0,7,11.195237082497774
H.Y.B. (feat. Bas & Central Cee),4,32.0,13,15.769168230019828
HARLEY QUINN,58,33.05172413793103,18,9.74305405087925
HIBIKI,7,20.857142857142858,5,13.458932243787292
HISS,17,11.352941176470589,1,13.29445926161811
HOODRAT,3,27.0,18,8.54400374531753
HOT TO GO!,172,16.686046511627907,7,9.959874618045184
HUMBLE.,2,36.5,31,7.7781745930520225
HVN ON EARTH (with Kodak Black),1,41.0,41,
HYAENA,9,12.444444444444445,2,7.316268022549322
Habits,6,20.0,5,11.64474130240771
Happy Holiday / The Holiday Season,4,42.25,38,5.678908345800273
Happy Xmas (War Is Over) - Remastered 2010,6,38.333333333333336,32,7.3393914370788735
Haunted (Taylor's Version),5,23.8,14,10.2810505299799
Have The Heart (Feat. Dolly Parton),3,29.0,21,6.928203230275509
Have Yourself A Merry Little Christmas - Remastered 1999,3,43.333333333333336,42,2.3094010767585034
Head Honcho,1,29.0,29,
Heading South,213,40.6150234741784,27,6.027621924172675
Heartless,56,43.32142857142857,34,3.847583151004811
Heather,2,45.0,42,4.242640687119285
Heavy Is the Crown,2,44.5,44,0.7071067811865476
Hellcat Kenny (feat. Lil Uzi Vert),1,31.0,31,
Here Comes Santa Claus (Right Down Santa Claus Lane),3,49.333333333333336,49,0.5773502691896263
Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,4,36.25,35,2.4999999999999996
Hey Daddy (Daddy's Home),1,40.0,40,
Hey Driver (feat. The War and Treaty),55,22.472727272727273,3,14.594334955543976
Hey Jane,10,24.1,6,12.60026454748735
Hide My Gun (Feat. HARDY),3,38.333333333333336,35,2.886751345948128
High Road,7,34.857142857142854,10,12.266873704256946
High Road (feat. Jessie Murph),29,33.44827586206897,17,9.462656705237817
Hits Different,12,21.25,2,13.605647223253893
Holly Jolly Christmas,34,23.91176470588235,15,7.959624047231254
Holy Roller (feat. Sierra Ferrell),8,23.25,13,8.79529094783924
Home,53,40.075471698113205,27,5.840340666446192
Houdini,75,20.266666666666666,4,12.470866951520355
How Did It End?,10,35.3,28,7.972870666621067
